#,Product,Grade,Vat Type,Spec.,Battery Health,Qty, Offer,Order Qty, Total,,Notes:
124,Apple iPad A1954 (6th Gen) 128GB Slv - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
125,Apple iPad A1980 (Pro11 1) 256GB SpG - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
126,Apple iPad A1980 (Pro11 1) 64GB Silv - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
127,Apple iPad A2072 (Air 4) 64GB Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
128,Apple iPad A2072 (Air 4) 64GB SpGr - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
129,Apple iPad A2197 (7th Gen) 128GB SpG - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
130,Apple iPad A2197 (7th Gen) 32GB Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
131,Apple iPad A2197 (7th Gen) 32GB Gold - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
132,Apple iPad A2197 (7th Gen) 32GB Slvr - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
133,Apple iPad A2197 (7th Gen) 32GB Slvr - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
134,Apple iPad A2198 (7th Gen) 128GB SpG - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
135,Apple iPad A2198 (7th Gen) 32GB Gold - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
136,Apple iPad A2198 (7th Gen) 32GB Slvr - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
137,Apple iPad A2198 (7th Gen) 32GB Slvr - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
138,Apple iPad A2198 (7th Gen) 32GB SpGr - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
139,Apple iPad A2230 (Pro11 2) 512GB SpG - Grade B - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade B,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
140,Apple iPad A2270 (8thGen) 128GB Slvr - Grade A - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade A,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
141,Apple iPad A2270 (8thGen) 32GB Silvr - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
142,Apple iPad A2270 (8thGen) 32GB SpGr - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
143,Apple iPad A2429 (8thGen) 32GB Gold - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
144,Apple iPad A2429 (8thGen) 32GB SpGr - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
145,Apple iPad A2567 (Mini 6) 64GB SpGr - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
146,Apple iPad A2602 (9thGen) 64GB SpGr - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
147,Apple iPad A2602 (9thGen) 64GB SpGr - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
148,Apple iPad A2604 (9thGen) 256GB Slvr - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
149,Apple iPad A2604 (9thGen) 256GB Slvr - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
150,Apple iPad A2604 (9thGen) 64GB Silvr - Grade C - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
151,Apple iPad A2604 (9thGen) 64GB SpGr - Grade A - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade A,Standard,UK / EU,80%+,2, £ -   ,0, £ -   ,,
152,Apple iPad A2696 (10thGen) 256GB Blu - Grade A - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade A,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
153,Apple iPad A2696 (10thGen) 64GB Silv - Pristine A+ Open Box - Standard Vat - Generic / Codes - 80%+ Battery Health,Pristine A+ Open Box,Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
154,Apple iPhone 11 128GB Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,9, £ -   ,0, £ -   ,,
155,Apple iPhone 11 128GB Black - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,5, £ -   ,0, £ -   ,,
156,Apple iPhone 11 128GB Black - Grade C (Non-Genuine) - Marginal Vat - Generic / Codes,Grade C (Non-Genuine),Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
157,Apple iPhone 11 128GB Black - Grade C (Non-Genuine) - Standard Vat - Generic / Codes - 80%+ Battery Health,Grade C (Non-Genuine),Standard,UK / EU,80%+,1, £ -   ,0, £ -   ,,
158,Apple iPhone 11 128GB Green - Grade C - Marginal Vat - Generic / Codes - 80%+ Battery Health,Grade C,Marginal,UK / EU,80%+,1, £ -   ,0, £ -   ,,
159,Apple iPhone 11 128GB Purple - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
160,Apple iPhone 11 128GB Purple - Grade C (Non-Genuine) - Marginal Vat - Generic / Codes,Grade C (Non-Genuine),Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
